country,popularity,danceability,energy,acousticness,liveness,valence,tempo
 Polska,47.5,0.7395,0.655,0.221,0.136,0.529,119.993
 Zimbabwe,32.0,0.712,0.668,0.241,0.112,0.593,104.967
Afghanistan,23.0,0.646,0.757,0.36,0.132,0.715,115.001
Argentina,72.0,0.762,0.679,0.136,0.122,0.643,98.958
Australia,76.0,0.665,0.738,0.107,0.12,0.51,128.04
Austria,67.0,0.702,0.683,0.147,0.142,0.532,119.923
Belgium,68.0,0.704,0.614,0.138,0.111,0.51,124.357
Bolivia,77.0,0.781,0.708,0.224,0.161,0.607,102.025
Brazil,71.0,0.691,0.7695000000000001,0.328,0.312,0.633,131.199
Canada,76.0,0.6265000000000001,0.6825000000000001,0.138,0.114,0.466,127.979
Chile,71.0,0.822,0.706,0.124,0.116,0.579,99.956
Colombia,73.0,0.778,0.695,0.238,0.125,0.576,104.002
Costa Rica,76.0,0.782,0.695,0.2225,0.126,0.57,106.993
Denmark,53.0,0.662,0.641,0.138,0.126,0.5035000000000001,128.04
Ecuador,77.0,0.7985,0.715,0.213,0.12,0.576,106.993
Estonia,70.5,0.645,0.7375,0.0826,0.1265,0.486,127.7115
Finland,54.0,0.6755,0.7384999999999999,0.08105,0.159,0.494,128.031
France,61.0,0.696,0.621,0.247,0.112,0.5,122.758
Germany,63.0,0.724,0.65,0.147,0.142,0.498,109.969
Global,80.0,0.696,0.729,0.138,0.112,0.5365,129.999
Greece,56.0,0.712,0.659,0.202,0.156,0.44,112.008
Guatemala,79.0,0.775,0.692,0.276,0.114,0.579,115.047
Hong Kong,55.0,0.601,0.579,0.421,0.121,0.432,129.86149999999998
Hungary,49.0,0.6984999999999999,0.682,0.138,0.125,0.465,105.01
Iceland,71.0,0.647,0.637,0.13,0.131,0.395,122.758
India,70.0,0.717,0.678,0.236,0.124,0.576,109.985
Indonesia,70.0,0.527,0.412,0.554,0.108,0.349,122.049
Ireland,76.0,0.637,0.732,0.0988,0.113,0.486,122.668
Israel,51.0,0.651,0.636,0.252,0.156,0.424,124.444
Italy,59.0,0.6395,0.665,0.14150000000000001,0.1125,0.4535,123.2245
Japan,69.0,0.619,0.709,0.14400000000000002,0.145,0.503,140.0075
Latvia,75.0,0.684,0.63,0.0988,0.122,0.442,121.964
Lithuania,74.0,0.607,0.639,0.107,0.1275,0.425,122.082
Luxembourg,69.0,0.696,0.627,0.138,0.113,0.501,124.357
Malaysia,72.0,0.571,0.516,0.415,0.123,0.341,120.014
Mexico,78.0,0.775,0.6725000000000001,0.226,0.111,0.686,124.98
Morocco,53.0,0.696,0.5805,0.3175,0.107,0.488,122.8805
Netherlands,62.0,0.715,0.633,0.168,0.121,0.529,119.001
New Zealand,77.0,0.696,0.705,0.105,0.113,0.478,126.011
Nicaragua,79.0,0.795,0.729,0.213,0.146,0.575,106.993
Norway,60.0,0.646,0.696,0.15,0.117,0.468,122.032
Panama,72.0,0.759,0.688,0.213,0.113,0.553,106.993
Peru,76.0,0.835,0.715,0.176,0.1365,0.579,112.993
Philippines,78.0,0.636,0.5125,0.342,0.115,0.39,120.032
Portugal,72.5,0.703,0.662,0.289,0.1165,0.498,128.033
Romania,50.0,0.702,0.699,0.179,0.137,0.438,120.211
Saudi Arabia,76.0,0.651,0.682,0.20550000000000002,0.128,0.3895,113.66050000000001
Singapore,78.0,0.637,0.6134999999999999,0.141,0.114,0.478,131.199
Slovakia,51.0,0.697,0.6365000000000001,0.152,0.118,0.487,123.973
South Africa,52.0,0.739,0.594,0.073,0.102,0.497,112.022
South Korea,68.0,0.696,0.745,0.103,0.1685,0.6125,130.34
Spain,71.0,0.758,0.728,0.219,0.119,0.578,116.5195
Suriname,66.0,0.741,0.679,0.164,0.105,0.607,113.013
Sweden,57.0,0.644,0.592,0.185,0.123,0.47,122.016
Switzerland,67.0,0.697,0.628,0.227,0.111,0.509,119.9345
Taiwan,60.0,0.55,0.542,0.212,0.125,0.399,131.199
Thailand,61.0,0.6445000000000001,0.5754999999999999,0.2375,0.14350000000000002,0.523,134.433
Turkey,67.0,0.686,0.647,0.185,0.109,0.441,109.941
UAE,79.0,0.685,0.641,0.138,0.103,0.436,121.0535
USA,75.0,0.637,0.712,0.149,0.119,0.486,126.956
Ukraine,59.0,0.664,0.68,0.092,0.128,0.437,121.964
United Kingdom,77.0,0.636,0.7315,0.1195,0.114,0.509,122.032
Uruguay,72.0,0.766,0.648,0.161,0.111,0.64,98.958
Vietnam,55.0,0.705,0.4915,0.602,0.126,0.361,116.0745
